Webpage 1 :    Solar_eclipse                                                              Level : 1
Webpage 2 :    Earth                                                                      Level : 2
Webpage 3 :    Planet                                                                     Level : 3
Webpage 4 :    Astronomical_body                                                          Level : 4
Webpage 5 :    Physical_body                                                              Level : 5
Webpage 6 :    Physics                                                                    Level : 6
Webpage 7 :    Identity_(philosophy)                                                      Level : 6
Webpage 8 :    Matter                                                                     Level : 6
Webpage 9 :    Three-dimensional_space                                                    Level : 6
Webpage 10 :   Contiguous                                                                 Level : 6
Webpage 11 :   3-dimensional_space                                                        Level : 6
Webpage 12 :   Scientific_model                                                           Level : 6
Webpage 13 :   Particle                                                                   Level : 6
Webpage 14 :   Interaction                                                                Level : 6
Webpage 15 :   Continuous_media                                                           Level : 6
Webpage 16 :   Extension_(metaphysics)                                                    Level : 6
Webpage 17 :   Universe                                                                   Level : 6
Webpage 18 :   Physical_theory                                                            Level : 6
Webpage 19 :   Quantum_physics                                                            Level : 6
Webpage 20 :   Cosmology                                                                  Level : 6
Webpage 21 :   Spacetime                                                                  Level : 6
Webpage 22 :   Time                                                                       Level : 6
Webpage 23 :   Point_(geometry)                                                           Level : 6
Webpage 24 :   Physical_quantity                                                          Level : 6
Webpage 25 :   Mass                                                                       Level : 6
Webpage 26 :   Momentum                                                                   Level : 6
Webpage 27 :   Electric_charge                                                            Level : 6
Webpage 28 :   Conservation_law_(physics)                                                 Level : 6
Webpage 29 :   Physical_system                                                            Level : 6
Webpage 30 :   Sense                                                                      Level : 6
Webpage 31 :   Occam%27s_razor                                                            Level : 6
Webpage 32 :   Rigid_body                                                                 Level : 6
Webpage 33 :   Continuity_(mathematics)                                                   Level : 6
Webpage 34 :   Translation_(geometry)                                                     Level : 6
Webpage 35 :   Rotation                                                                   Level : 6
Webpage 36 :   Deformable_body                                                            Level : 6
Webpage 37 :   Deformation_(mechanics)                                                    Level : 6
Webpage 38 :   Set_(mathematics)                                                          Level : 6
Webpage 39 :   Counting                                                                   Level : 6
